연번,Station 스테이션/성명,위치,Latitude,Longitude,광역시도코드,광역시도명,시군구코드,시군구명,법정동코드,법정동명,행정동코드,행정동명,거치대
25,카이스트 후문,대전광역시 유성구 구성동 145,36.3747973,127.3666563,30,대전광역시,30200,유성구,3020012400,구성동,3020054000,온천2동,13
26,엑스포과학공원 주차장,대전광역시 유성구 가정동 39-2,36.3779356,127.3785383,30,대전광역시,30200,유성구,3020012600,가정동,3020055000,신성동,13
27,엑스포과학공원,대전광역시 유성구 도룡동 3-1,36.3781133,127.3843067,30,대전광역시,30200,유성구,3020012700,도룡동,3020055000,신성동,13
28,스마트시티(201동),대전광역시 유성구 도룡동 4-32,36.3786874,127.3915265,30,대전광역시,30200,유성구,3020012700,도룡동,3020055000,신성동,14
29,만년동주민센터,대전광역시 서구 만년동 13,36.366808,127.3719841,30,대전광역시,30170,서구,3017012800,만년동,3017065000,만년동,16
30,선사유적지공용주차장,대전광역시 서구 월평2동 2243,36.3635561,127.3740015,30,대전광역시,30170,서구,3017011300,월평동,3017058700,월평2동,12
31,대전광역시 유성구청,대전광역시 유성구 어은동 59-12,36.3617639,127.3574454,30,대전광역시,30200,유성구,3020012300,어은동,3020054000,온천2동,20
32,홈플러스(유성점),대전광역시 유성구 봉명동 669,36.3584437,127.3542548,30,대전광역시,30200,유성구,3020011100,봉명동,3020053000,온천1동,20
33,월평역 2번출구(육교밑),대전광역시 서구 월평동 428,36.3581627,127.361835,30,대전광역시,30170,서구,3017011300,월평동,3017058600,월평1동,20
34,진달래아파트(107동),대전광역시 서구 월평동 604,36.3576407,127.3658705,30,대전광역시,30170,서구,3017011300,월평동,3017058600,월평1동,13
35,갈마역 2번출구,대전광역시 서구 둔산동 1515-2,36.3575865,127.375422,30,대전광역시,30170,서구,3017011200,둔산동,3017064000,둔산2동,13
36,가람아파트(3동),대전광역시 서구 둔산동 2156,36.3504567,127.3848187,30,대전광역시,30170,서구,3017011200,둔산동,3017066000,둔산3동,13
37,수정타운아파트(13동),대전광역시 서구 둔산동 1515,36.3576061,127.3951793,30,대전광역시,30170,서구,3017011200,둔산동,3017066000,둔산3동,13
38,갑천역 1번출구,대전광역시 서구 월평동 1534,36.3543602,127.3546005,30,대전광역시,30170,서구,3017011300,월평동,3017058600,월평1동,13
39,패션월드,대전광역시 서구 월평1동 1498,36.3514483,127.3519383,30,대전광역시,30170,서구,3017011300,월평동,3017058600,월평1동,13
40,월평타운,대전광역시 서구 월평동 1543,36.3537997,127.359308,30,대전광역시,30170,서구,3017011300,월평동,3017058600,월평1동,13
41,대전일보,대전광역시 서구 월평동 41-3,36.3536836,127.3632174,30,대전광역시,30170,서구,3017011300,월평동,3017058600,월평1동,13
42,갈마네거리,대전광역시 서구 갈마동 292-20,36.3535057,127.3677212,30,대전광역시,30170,서구,3017011100,갈마동,3017058100,갈마1동,12
43,둔산여고,대전광역시 서구 둔산동 1526,36.3540661,127.374375,30,대전광역시,30170,서구,3017011200,둔산동,3017064000,둔산2동,13
44,을지대학병원,대전광역시 서구 둔산동 1542,36.3544524,127.3829689,30,대전광역시,30170,서구,3017011200,둔산동,3017064000,둔산2동,13
