출구본부명,출구지사명,출구영업소코드,출구영업소명,처리일자,처리일시분초,TCS차종구분코드,TCS차종구분명,근무일자,근무번호,확인순번,TCS본부명,지사명,영업소코드,영업소명,발급일시,발급시분초
전북본부,무주,114,남대전,20210606,90347,6,6종,20210606,3401,100,대전충남본부,대전,113,신탄진,20210606,84100
전북본부,무주,114,남대전,20210606,90551,1,1종,20210606,3401,102,대전충남본부,대전,112,남청주,20210606,83800
전북본부,무주,114,남대전,20210606,90953,6,6종,20210606,3401,108,대전충남본부,대전,152,유성,20210606,85100
전북본부,무주,114,남대전,20210606,91053,1,1종,20210606,3401,109,대전충남본부,대전,152,유성,20210606,84000
전북본부,무주,114,남대전,20210606,92541,1,1종,20210606,3401,119,대전충남본부,대전,113,신탄진,20210606,90608
전북본부,무주,114,남대전,20210606,92554,1,1종,20210606,3401,120,대전충남본부,대전,115,대전,20210606,91300
전북본부,무주,114,남대전,20210606,92659,1,1종,20210606,3401,121,대전충남본부,대전,115,대전,20210606,91600
전북본부,무주,114,남대전,20210606,93113,1,1종,20210606,3401,124,대전충남본부,대전,151,북대전,20210606,91300
전북본부,무주,114,남대전,20210606,93738,1,1종,20210606,3401,126,대전충남본부,대전,115,대전,20210606,92600
전북본부,무주,114,남대전,20210606,94333,1,1종,20210606,3401,127,대전충남본부,대전,152,유성,20210606,92600
전북본부,무주,114,남대전,20210606,94725,1,1종,20210606,3401,132,대전충남본부,대전,115,대전,20210606,93400
전북본부,무주,114,남대전,20210606,94738,1,1종,20210606,3401,133,대전충남본부,대전,152,유성,20210606,92700
전북본부,무주,114,남대전,20210606,94954,1,1종,20210606,3401,137,대전충남본부,대전,115,대전,20210606,93851
전북본부,무주,114,남대전,20210606,95022,1,1종,20210606,3401,138,대전충남본부,대전,115,대전,20210606,94000
전북본부,무주,114,남대전,20210606,95329,1,1종,20210606,3401,141,대전충남본부,대전,151,북대전,20210606,93500
전북본부,무주,114,남대전,20210606,95725,1,1종,20210606,3401,146,대전충남본부,대전,152,유성,20210606,93800
제2서해안고속도로,평택시흥,685,서시흥,20210606,155628,1,1종,20210606,503,228,대전충남본부,대전,115,대전,20210606,134400
전북본부,무주,114,남대전,20210606,100400,1,1종,20210606,3401,151,대전충남본부,대전,152,유성,20210606,94400
전북본부,무주,114,남대전,20210606,100509,1,1종,20210606,3401,153,대전충남본부,대전,115,대전,20210606,95300
전북본부,무주,114,남대전,20210606,100520,1,1종,20210606,3401,154,대전충남본부,대전,152,유성,20210606,94700
전북본부,무주,114,남대전,20210606,100633,1,1종,20210606,3401,155,대전충남본부,대전,113,신탄진,20210606,94900
전북본부,무주,114,남대전,20210606,100649,1,1종,20210606,3401,156,대전충남본부,대전,152,유성,20210606,94700
전북본부,무주,114,남대전,20210606,101037,1,1종,20210606,3401,158,대전충남본부,대전,152,유성,20210606,95200
전북본부,무주,114,남대전,20210606,101745,1,1종,20210606,3401,162,대전충남본부,대전,151,북대전,20210606,100000
전북본부,무주,114,남대전,20210606,102108,1,1종,20210606,3401,167,대전충남본부,대전,152,유성,20210606,100000
전북본부,무주,114,남대전,20210606,103139,1,1종,20210606,3401,172,대전충남본부,대전,152,유성,20210606,101100
전북본부,무주,114,남대전,20210606,103351,1,1종,20210606,3401,175,대전충남본부,대전,152,유성,20210606,101400
전북본부,무주,114,남대전,20210606,103405,6,6종,20210606,3401,176,대전충남본부,대전,152,유성,20210606,101400
전북본부,무주,114,남대전,20210606,103859,1,1종,20210606,3401,180,대전충남본부,대전,113,신탄진,20210606,102000
전북본부,무주,114,남대전,20210606,104915,1,1종,20210606,3401,188,대전충남본부,대전,152,유성,20210606,103000
전북본부,무주,114,남대전,20210606,105205,1,1종,20210606,3401,190,대전충남본부,대전,152,유성,20210606,103705
전북본부,무주,114,남대전,20210606,105332,1,1종,20210606,3401,192,대전충남본부,대전,151,북대전,20210606,103434
전북본부,무주,114,남대전,20210606,105350,1,1종,20210606,3401,193,대전충남본부,대전,152,유성,20210606,103600
전북본부,무주,114,남대전,20210606,105402,1,1종,20210606,3401,194,대전충남본부,대전,151,북대전,20210606,103700
전북본부,무주,114,남대전,20210606,105424,1,1종,20210606,3401,195,대전충남본부,대전,152,유성,20210606,103700
전북본부,무주,114,남대전,20210606,110949,1,1종,20210606,3401,208,대전충남본부,대전,113,신탄진,20210606,105143
전북본부,무주,114,남대전,20210606,111019,1,1종,20210606,3401,209,대전충남본부,대전,152,유성,20210606,105300
전북본부,무주,114,남대전,20210606,111046,1,1종,20210606,3401,210,대전충남본부,대전,115,대전,20210606,110000
전북본부,무주,114,남대전,20210606,111153,1,1종,20210606,3401,212,대전충남본부,대전,152,유성,20210606,105509
전북본부,무주,114,남대전,20210606,111759,1,1종,20210606,3401,220,대전충남본부,대전,152,유성,20210606,105900
전북본부,무주,114,남대전,20210606,112245,1,1종,20210606,3401,222,대전충남본부,대전,152,유성,20210606,110436
전북본부,무주,114,남대전,20210606,112346,1,1종,20210606,3401,223,대전충남본부,대전,115,대전,20210606,111200
전북본부,무주,114,남대전,20210606,112426,1,1종,20210606,3401,224,대전충남본부,대전,152,유성,20210606,110600
전북본부,무주,114,남대전,20210606,115708,1,1종,20210606,3401,227,대전충남본부,대전,115,대전,20210606,114400
전북본부,무주,114,남대전,20210606,115751,1,1종,20210606,3401,228,대전충남본부,대전,151,북대전,20210606,113500
제2서해안고속도로,평택시흥,685,서시흥,20210606,180048,1,1종,20210606,503,543,대전충남본부,대전,113,신탄진,20210606,150300
제2서해안고속도로,평택시흥,685,서시흥,20210606,181230,1,1종,20210606,503,573,대전충남본부,대전,113,신탄진,20210606,151600
제2서해안고속도로,평택시흥,685,서시흥,20210606,184439,1,1종,20210606,503,648,대전충남본부,대전,115,대전,20210606,154100
제2서해안고속도로,평택시흥,685,서시흥,20210606,194201,1,1종,20210606,503,766,대전충남본부,대전,115,대전,20210606,170700
제2서해안고속도로,평택시흥,685,서시흥,20210606,195210,1,1종,20210606,503,790,대전충남본부,대전,151,북대전,20210606,173200
제2서해안고속도로,평택시흥,685,서시흥,20210606,195255,1,1종,20210606,503,794,대전충남본부,대전,115,대전,20210606,180500
제2서해안고속도로,평택시흥,685,서시흥,20210606,200751,1,1종,20210606,503,839,대전충남본부,대전,115,대전,20210606,175800
대전충남본부,대전,113,신탄진,20210606,152255,1,1종,20210606,3202,65,대전충남본부,대전,152,유성,20210606,151000
대전충남본부,대전,113,신탄진,20210606,152510,1,1종,20210606,3202,68,대전충남본부,대전,115,대전,20210606,151800
대전충남본부,대전,113,신탄진,20210606,152612,4,4종,20210606,3202,69,대전충남본부,대전,112,남청주,20210606,150000
대전충남본부,대전,113,신탄진,20210606,153932,2,2종,20210606,3202,81,대전충남본부,대전,115,대전,20210606,113900
대전충남본부,대전,113,신탄진,20210606,154320,1,1종,20210606,3202,84,대전충남본부,대전,112,남청주,20210606,152400
대전충남본부,대전,113,신탄진,20210606,154344,1,1종,20210606,3202,85,대전충남본부,대전,112,남청주,20210606,114800
제2서해안고속도로,평택시흥,685,서시흥,20210606,211638,1,1종,20210606,503,965,대전충남본부,대전,113,신탄진,20210606,193558
제2서해안고속도로,평택시흥,685,서시흥,20210606,221230,1,1종,20210606,504,37,대전충남본부,대전,113,신탄진,20210606,203100
제2서해안고속도로,평택시흥,685,서시흥,20210606,222233,1,1종,20210606,504,57,대전충남본부,대전,115,대전,20210606,203000
제2서해안고속도로,평택시흥,685,서시흥,20210606,224256,1,1종,20210606,504,84,대전충남본부,대전,115,대전,20210606,210800
제2서해안고속도로,평택시흥,685,서시흥,20210606,231432,1,1종,20210606,504,125,대전충남본부,대전,113,신탄진,20210606,214343
제2서해안고속도로,평택시흥,685,서시흥,20210606,231534,1,1종,20210606,504,128,대전충남본부,대전,115,대전,20210606,213500
제2서해안고속도로,평택시흥,685,서시흥,20210606,91318,1,1종,20210606,601,12,대전충남본부,대전,113,신탄진,20210606,72600
대전충남본부,대전,113,신탄진,20210606,161552,1,1종,20210606,3202,123,대전충남본부,대전,115,대전,20210606,160800
대전충남본부,대전,113,신탄진,20210606,163354,1,1종,20210606,3202,141,대전충남본부,대전,115,대전,20210606,162242
대전충남본부,대전,113,신탄진,20210606,163413,1,1종,20210606,3202,142,대전충남본부,대전,115,대전,20210606,155100
대전충남본부,대전,113,신탄진,20210606,163433,1,1종,20210606,3202,143,대전충남본부,대전,152,유성,20210606,162000
대전충남본부,대전,113,신탄진,20210606,170907,1,1종,20210606,3202,185,대전충남본부,대전,112,남청주,20210606,165000
대전충남본부,대전,113,신탄진,20210606,171150,1,1종,20210606,3202,193,대전충남본부,대전,152,유성,20210606,165500
대전충남본부,대전,113,신탄진,20210606,173555,4,4종,20210606,3202,229,대전충남본부,대전,112,남청주,20210606,165126
대전충남본부,대전,113,신탄진,20210606,175203,1,1종,20210606,3202,247,대전충남본부,대전,112,남청주,20210606,174200
대전충남본부,대전,113,신탄진,20210606,184022,1,1종,20210606,3202,307,대전충남본부,대전,115,대전,20210606,183200
대전충남본부,대전,113,신탄진,20210606,190945,1,1종,20210606,3202,343,대전충남본부,대전,115,대전,20210606,190100
